level,model,condition,outer_seed,folds_total,folds_with_ac,folds_with_auroc,ac_auroc,auroc,eligible_pairs,positives,negatives,participating_positives,participating_negatives,ac_repeat_min,ac_repeat_max,ac_repeat_sd
repeat,p3_compact35,cross_site,17,3,3,3,0.6610392673325581,0.7838592291516013,150.66666666666666,17.666666666666668,226.66666666666666,15.333333333333334,111.0,N/A,N/A,N/A
repeat,p3_compact35,site_I0002,17,3,0,0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A
repeat,p3_compact35,site_I0006,17,3,3,3,0.7095959595959597,0.8009171075837743,15.666666666666666,4.333333333333333,35.666666666666664,4.0,14.333333333333334,N/A,N/A,N/A
repeat,p3_compact35,site_S0001,17,3,3,3,0.4885244802312105,0.7326313677318571,292.6666666666667,13.333333333333334,191.0,13.333333333333334,136.66666666666666,N/A,N/A,N/A
repeat,p3_global59,overall,17,3,3,3,0.5753917260253955,0.757003031451827,459.0,17.666666666666668,226.66666666666666,17.666666666666668,168.66666666666666,N/A,N/A,N/A
repeat,p3_global59,same_site,17,3,3,3,0.5583091747550303,0.747693272042329,308.3333333333333,17.666666666666668,226.66666666666666,17.333333333333332,151.0,N/A,N/A,N/A
repeat,p3_global59,cross_site,17,3,3,3,0.6135940345892344,0.7739757640694395,150.66666666666666,17.666666666666668,226.66666666666666,15.333333333333334,111.0,N/A,N/A,N/A
repeat,p3_global59,site_I0002,17,3,0,0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A
repeat,p3_global59,site_I0006,17,3,3,3,0.6237373737373738,0.7378483245149913,15.666666666666666,4.333333333333333,35.666666666666664,4.0,14.333333333333334,N/A,N/A,N/A
repeat,p3_global59,site_S0001,17,3,3,3,0.5545080249514304,0.7481291843439323,292.6666666666667,13.333333333333334,191.0,13.333333333333334,136.66666666666666,N/A,N/A,N/A
repeat,p3_stage155,overall,17,3,3,3,0.4985357501560383,0.7308865705434023,459.0,17.666666666666668,226.66666666666666,17.666666666666668,168.66666666666666,N/A,N/A,N/A
repeat,p3_stage155,same_site,17,3,3,3,0.46653556184200157,0.7175739094558163,308.3333333333333,17.666666666666668,226.66666666666666,17.333333333333332,151.0,N/A,N/A,N/A
repeat,p3_stage155,cross_site,17,3,3,3,0.5700784624164963,0.7551799069911597,150.66666666666666,17.666666666666668,226.66666666666666,15.333333333333334,111.0,N/A,N/A,N/A
repeat,p3_stage155,site_I0002,17,3,0,0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A
repeat,p3_stage155,site_I0006,17,3,3,3,0.6174242424242424,0.7641975308641976,15.666666666666666,4.333333333333333,35.666666666666664,4.0,14.333333333333334,N/A,N/A,N/A
repeat,p3_stage155,site_S0001,17,3,3,3,0.4611923330719683,0.7140546418340131,292.6666666666667,13.333333333333334,191.0,13.333333333333334,136.66666666666666,N/A,N/A,N/A
repeat,p4_legacy_best_val_ac,overall,17,3,3,3,0.6866719370826182,0.7030720186470584,459.0,17.666666666666668,226.66666666666666,17.666666666666668,168.66666666666666,N/A,N/A,N/A
