model,outer_seed,fold,condition,ac_auroc,eligible_pairs,positives,negatives,participating_positives,participating_negatives,auroc,auroc_pairs,source_file
p3_global59,7,2,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p3_v2/cv/seed7/fold2/P3_global59_holdout.csv
p3_global59,7,2,site_I0006,0.7,10,3,37,2,8,0.7477477477477478,111,output/p3_v2/cv/seed7/fold2/P3_global59_holdout.csv
p3_global59,7,2,site_S0001,0.5558252427184466,412,16,188,16,169,0.7027925531914894,3008,output/p3_v2/cv/seed7/fold2/P3_global59_holdout.csv
p3_stage155,7,2,overall,0.5606326889279437,569,19,225,18,200,0.6989473684210527,4275,output/p3_v2/cv/seed7/fold2/P3_stage155_holdout.csv
p3_stage155,7,2,same_site,0.5450236966824644,422,19,225,18,177,0.6999038153254248,3119,output/p3_v2/cv/seed7/fold2/P3_stage155_holdout.csv
p3_stage155,7,2,cross_site,0.6054421768707483,147,19,225,18,81,0.6963667820069204,1156,output/p3_v2/cv/seed7/fold2/P3_stage155_holdout.csv
p3_stage155,7,2,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p3_v2/cv/seed7/fold2/P3_stage155_holdout.csv
p3_stage155,7,2,site_I0006,0.4,10,3,37,2,8,0.7207207207207207,111,output/p3_v2/cv/seed7/fold2/P3_stage155_holdout.csv
p3_stage155,7,2,site_S0001,0.5485436893203883,412,16,188,16,169,0.6991356382978723,3008,output/p3_v2/cv/seed7/fold2/P3_stage155_holdout.csv
p4_legacy_best_val_ac,7,2,overall,0.7311072056239016,569,19,225,18,200,0.7181286549707603,4275,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold2/best_val_ac_outer_holdout_logits.csv
p4_legacy_best_val_ac,7,2,same_site,0.7298578199052133,422,19,225,18,177,0.756011542160949,3119,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold2/best_val_ac_outer_holdout_logits.csv
p4_legacy_best_val_ac,7,2,cross_site,0.7346938775510204,147,19,225,18,81,0.615916955017301,1156,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold2/best_val_ac_outer_holdout_logits.csv
p4_legacy_best_val_ac,7,2,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold2/best_val_ac_outer_holdout_logits.csv
p4_legacy_best_val_ac,7,2,site_I0006,0.8,10,3,37,2,8,0.4954954954954955,111,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold2/best_val_ac_outer_holdout_logits.csv
p4_legacy_best_val_ac,7,2,site_S0001,0.7281553398058253,412,16,188,16,169,0.765625,3008,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold2/best_val_ac_outer_holdout_logits.csv
p4_legacy_fixed_epoch6,7,2,overall,0.6625659050966608,569,19,225,18,200,0.6914619883040936,4275,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold2/fixed_epoch6_outer_holdout_logits.csv
p4_legacy_fixed_epoch6,7,2,same_site,0.6587677725118484,422,19,225,18,177,0.6957358127605001,3119,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold2/fixed_epoch6_outer_holdout_logits.csv
p4_legacy_fixed_epoch6,7,2,cross_site,0.673469387755102,147,19,225,18,81,0.6799307958477508,1156,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold2/fixed_epoch6_outer_holdout_logits.csv
p4_legacy_fixed_epoch6,7,2,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold2/fixed_epoch6_outer_holdout_logits.csv
p4_legacy_fixed_epoch6,7,2,site_I0006,0.7,10,3,37,2,8,0.6936936936936937,111,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold2/fixed_epoch6_outer_holdout_logits.csv
p4_legacy_fixed_epoch6,7,2,site_S0001,0.6577669902912622,412,16,188,16,169,0.695811170212766,3008,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold2/fixed_epoch6_outer_holdout_logits.csv
p3_demo10,17,0,overall,0.6352459016393442,366,15,229,15,160,0.8097525473071324,3435,output/p3_v2/cv/seed17/fold0/P3_demo10_holdout.csv
p3_demo10,17,0,same_site,0.6149193548387096,248,15,229,15,137,0.8137376237623762,2424,output/p3_v2/cv/seed17/fold0/P3_demo10_holdout.csv
p3_demo10,17,0,cross_site,0.6779661016949152,118,15,229,14,93,0.8001978239366964,1011,output/p3_v2/cv/seed17/fold0/P3_demo10_holdout.csv
p3_demo10,17,0,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p3_v2/cv/seed17/fold0/P3_demo10_holdout.csv
p3_demo10,17,0,site_I0006,0.8333333333333334,12,3,36,3,11,0.7870370370370371,108,output/p3_v2/cv/seed17/fold0/P3_demo10_holdout.csv
p3_demo10,17,0,site_S0001,0.6038135593220338,236,12,193,12,126,0.8149827288428325,2316,output/p3_v2/cv/seed17/fold0/P3_demo10_holdout.csv
p3_compact30,17,0,overall,0.5273224043715847,366,15,229,15,160,0.758660844250364,3435,output/p3_v2/cv/seed17/fold0/P3_compact30_holdout.csv
p3_compact30,17,0,same_site,0.43548387096774194,248,15,229,15,137,0.7462871287128713,2424,output/p3_v2/cv/seed17/fold0/P3_compact30_holdout.csv
p3_compact30,17,0,cross_site,0.7203389830508474,118,15,229,14,93,0.7883283877349159,1011,output/p3_v2/cv/seed17/fold0/P3_compact30_holdout.csv
p3_compact30,17,0,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p3_v2/cv/seed17/fold0/P3_compact30_holdout.csv
p3_compact30,17,0,site_I0006,0.6666666666666666,12,3,36,3,11,0.7870370370370371,108,output/p3_v2/cv/seed17/fold0/P3_compact30_holdout.csv
p3_compact30,17,0,site_S0001,0.423728813559322,236,12,193,12,126,0.7443868739205527,2316,output/p3_v2/cv/seed17/fold0/P3_compact30_holdout.csv
p3_compact35,17,0,overall,0.5273224043715847,366,15,229,15,160,0.758660844250364,3435,output/p3_v2/cv/seed17/fold0/P3_compact35_holdout.csv
p3_compact35,17,0,same_site,0.43548387096774194,248,15,229,15,137,0.7462871287128713,2424,output/p3_v2/cv/seed17/fold0/P3_compact35_holdout.csv
p3_compact35,17,0,cross_site,0.7203389830508474,118,15,229,14,93,0.7883283877349159,1011,output/p3_v2/cv/seed17/fold0/P3_compact35_holdout.csv
p3_compact35,17,0,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p3_v2/cv/seed17/fold0/P3_compact35_holdout.csv
p3_compact35,17,0,site_I0006,0.6666666666666666,12,3,36,3,11,0.7870370370370371,108,output/p3_v2/cv/seed17/fold0/P3_compact35_holdout.csv
p3_compact35,17,0,site_S0001,0.423728813559322,236,12,193,12,126,0.7443868739205527,2316,output/p3_v2/cv/seed17/fold0/P3_compact35_holdout.csv
p3_global59,17,0,overall,0.5683060109289617,366,15,229,15,160,0.7609898107714702,3435,output/p3_v2/cv/seed17/fold0/P3_global59_holdout.csv
p3_global59,17,0,same_site,0.49193548387096775,248,15,229,15,137,0.7429867986798679,2424,output/p3_v2/cv/seed17/fold0/P3_global59_holdout.csv
p3_global59,17,0,cross_site,0.7288135593220338,118,15,229,14,93,0.8041543026706232,1011,output/p3_v2/cv/seed17/fold0/P3_global59_holdout.csv
p3_global59,17,0,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p3_v2/cv/seed17/fold0/P3_global59_holdout.csv
p3_global59,17,0,site_I0006,0.8333333333333334,12,3,36,3,11,0.8148148148148148,108,output/p3_v2/cv/seed17/fold0/P3_global59_holdout.csv
