holdout_site,seed,feature,coefficient
S0001,7,caisr_sleep_short_bout_ratio,0.12640589143119174
S0001,7,caisr_sleep_mean_stage_entropy,0.6314668186021726
S0001,7,caisr_arousal_arousal_index,-0.8303412110595012
S0001,7,caisr_arousal_arousal_burden_ratio,-0.2666471561152991
S0001,7,caisr_arousal_mean_arousal_duration,0.260931444870591
S0001,7,caisr_respiratory_respiratory_event_index,-0.08725553210564817
S0001,7,caisr_respiratory_respiratory_burden_ratio,0.27293911824879263
S0001,7,caisr_respiratory_mean_resp_duration,0.11699068270093231
S0001,7,caisr_limb_limb_movement_index,0.5111869171494288
S0001,7,caisr_limb_plmi,-0.13756639302843535
S0001,17,age,0.5510161727425223
S0001,17,sex_Female,-0.12296886532101717
S0001,17,sex_Male,0.12296886532101717
S0001,17,sex_OtherUnknown,0.0
S0001,17,race_Asian,-0.0633163867821842
S0001,17,race_Black,0.09098197477883012
S0001,17,race_Others,-0.08172161636800689
S0001,17,race_Unavailable,0.04329872403418524
S0001,17,race_White,-0.06430947056078982
S0001,17,BMI,-0.2983788395423165
S0001,17,caisr_sleep_tst_sec,0.20696668207970279
S0001,17,caisr_sleep_se,-0.019877787922856504
S0001,17,caisr_sleep_sol_sec,0.2490374212545084
S0001,17,caisr_sleep_rem_latency_sec,0.0930550743956388
S0001,17,caisr_sleep_waso_sec,0.20267388866155753
S0001,17,caisr_sleep_n1_pct,-0.28475112072546954
S0001,17,caisr_sleep_n2_pct,-0.4095802519695107
S0001,17,caisr_sleep_n3_pct,-0.536828345065781
S0001,17,caisr_sleep_rem_pct,-0.39548876758954243
S0001,17,caisr_sleep_transition_rate,-0.18768949676341704
S0001,17,caisr_sleep_short_bout_ratio,0.11481197240018925
S0001,17,caisr_sleep_mean_stage_entropy,0.6030272769339456
S0001,17,caisr_arousal_arousal_index,-0.8703599805212803
S0001,17,caisr_arousal_arousal_burden_ratio,-0.25642574391906314
S0001,17,caisr_arousal_mean_arousal_duration,0.25965114435351155
S0001,17,caisr_respiratory_respiratory_event_index,-0.14874340001445369
S0001,17,caisr_respiratory_respiratory_burden_ratio,0.3429993224309253
S0001,17,caisr_respiratory_mean_resp_duration,0.09491468366517569
S0001,17,caisr_limb_limb_movement_index,0.4860980279912636
S0001,17,caisr_limb_plmi,-0.1434398557784235
S0001,27,age,0.5390595336806636
S0001,27,sex_Female,-0.10245330773217418
S0001,27,sex_Male,0.10245330773217418
S0001,27,sex_OtherUnknown,0.0
S0001,27,race_Asian,-0.06435997430896578
S0001,27,race_Black,0.06623821171896613
S0001,27,race_Others,-0.06400273671175122
S0001,27,race_Unavailable,0.059478679342470815
S0001,27,race_White,-0.049715603850303894
S0001,27,BMI,-0.2533812417495468
S0001,27,caisr_sleep_tst_sec,0.15430291954898734
S0001,27,caisr_sleep_se,-0.02577088392464803
S0001,27,caisr_sleep_sol_sec,0.25551182346495604
S0001,27,caisr_sleep_rem_latency_sec,0.1055813665672081
S0001,27,caisr_sleep_waso_sec,0.18100965849350964
S0001,27,caisr_sleep_n1_pct,-0.27525712637346395
S0001,27,caisr_sleep_n2_pct,-0.4536473112342756
S0001,27,caisr_sleep_n3_pct,-0.6025285389000617
S0001,27,caisr_sleep_rem_pct,-0.4046697985403972
S0001,27,caisr_sleep_transition_rate,-0.19566668331421466
S0001,27,caisr_sleep_short_bout_ratio,0.10826116468080564
S0001,27,caisr_sleep_mean_stage_entropy,0.6046875527034157
S0001,27,caisr_arousal_arousal_index,-0.8106205364399788
S0001,27,caisr_arousal_arousal_burden_ratio,-0.22812478970032277
S0001,27,caisr_arousal_mean_arousal_duration,0.21295364528861419
S0001,27,caisr_respiratory_respiratory_event_index,-0.05531386046916072
S0001,27,caisr_respiratory_respiratory_burden_ratio,0.19766615754769437
S0001,27,caisr_respiratory_mean_resp_duration,0.15074556749574186
S0001,27,caisr_limb_limb_movement_index,0.49993306247208386
S0001,27,caisr_limb_plmi,-0.16116099195721195
S0001,37,age,0.6511020213602706
S0001,37,sex_Female,-0.09739870968550118
S0001,37,sex_Male,0.09739870968550118
S0001,37,sex_OtherUnknown,0.0
S0001,37,race_Asian,-0.061642597495811594
S0001,37,race_Black,0.06027937937138108
S0001,37,race_Others,-0.05865810857202154
S0001,37,race_Unavailable,0.07086052349550398
